Date,Open,High,Low,Close,Adj Close,Volume
2012-03-19,57.619999,58.580002,54.200001,55.889999,45.609531,3733200
2012-03-26,56.720001,57.230000,54.500000,56.480000,46.091011,2175300
2012-04-02,56.480000,57.700001,53.099998,53.459999,43.626507,3006300
2012-04-09,52.529999,53.990002,51.310001,52.070000,42.492188,3858100
2012-04-16,53.570000,56.860001,53.220001,54.419998,44.409912,3565100
2012-04-23,53.270000,57.099998,52.139999,56.330002,45.968594,3103900
2012-04-30,55.869999,57.360001,53.099998,53.349998,43.536732,2591100
2012-05-07,53.029999,53.660000,51.160000,52.570000,42.900223,2010400
2012-05-14,51.860001,52.860001,47.139999,47.400002,38.681190,3048700
2012-05-21,47.599998,49.689999,47.090000,48.000000,39.170826,2701100
2012-05-28,48.630001,49.779999,45.759998,46.080002,37.603989,1926500
2012-06-04,46.080002,49.660000,44.810001,48.669998,39.838207,3017800
2012-06-11,49.270000,49.299999,46.259998,47.570000,38.937817,3459200
2012-06-18,47.090000,49.910000,46.779999,47.279999,38.700443,2196900
2012-06-25,46.430000,50.509998,46.060001,50.500000,41.336132,1968200
2012-07-02,50.799999,52.500000,49.750000,51.080002,41.810894,1827500
2012-07-09,50.860001,51.810001,47.349998,49.709999,40.689491,2866800
2012-07-16,49.459999,50.139999,48.189999,48.310001,39.543530,2206400
2012-07-23,46.970001,49.950001,44.910000,49.650002,40.640381,4850200
2012-07-30,49.660000,52.119999,49.220001,51.509998,42.162853,3415800
2012-08-06,51.860001,53.799999,51.860001,53.470001,43.767193,1532400
2012-08-13,53.200001,53.419998,51.590000,52.950001,43.341557,1351400
2012-08-20,52.750000,54.459999,51.900002,52.380001,43.080711,1552200
2012-08-27,52.799999,52.900002,50.320000,51.430000,42.299374,1536800
2012-09-03,51.439999,54.520000,50.580002,54.490002,44.816113,1471900
2012-09-10,54.459999,58.799999,54.450001,57.660000,47.423328,2371300
2012-09-17,56.860001,56.860001,53.040001,53.900002,44.330856,2718800
2012-09-24,53.520000,53.980000,50.750000,52.349998,43.056046,2256800
2012-10-01,52.770000,52.980000,50.869999,51.799999,42.603683,2091300
2012-10-08,51.160000,52.580002,49.720001,50.340000,41.402893,2957400
2012-10-15,50.500000,54.419998,49.959999,52.709999,43.352131,3260600
2012-10-22,52.799999,55.500000,51.779999,54.930000,45.178005,2737500
2012-10-29,54.860001,58.680000,53.860001,55.720001,45.827740,2437900
2012-11-05,55.700001,57.750000,54.240002,55.509998,45.655029,3500200
2012-11-12,56.279999,56.290001,53.090000,54.029999,44.437771,2695600
2012-11-19,54.970001,57.049999,54.970001,56.930000,46.822926,1985400
2012-11-26,56.910000,57.459999,55.090000,56.400002,46.387020,2116500
2012-12-03,57.110001,57.169998,55.740002,57.029999,47.113537,2237500
2012-12-10,56.910000,59.750000,56.430000,59.250000,48.947517,2467400
2012-12-17,59.310001,62.000000,59.160000,61.730000,50.996288,3309900
2012-12-24,61.540001,62.450001,60.259998,60.360001,49.864521,1259800
2012-12-31,60.110001,64.699997,60.110001,64.580002,53.350735,1904500
2013-01-07,64.220001,65.699997,63.529999,64.160004,53.003757,2622800
2013-01-14,63.480000,64.160004,62.160000,63.230000,52.235466,2703600
2013-01-21,63.299999,64.720001,62.549999,64.209999,53.045071,1967600
2013-01-28,64.120003,65.949997,63.500000,65.650002,54.234688,2046800
2013-02-04,64.839996,71.570000,64.080002,71.440002,59.017906,4646900
2013-02-11,71.260002,72.360001,70.379997,72.050003,59.521839,2114400
2013-02-18,72.199997,72.900002,67.290001,68.199997,56.341297,3115800
2013-02-25,68.360001,68.570000,64.660004,65.870003,54.416420,4425300
2013-03-04,65.589996,68.879997,64.809998,67.260002,55.564724,3041400
2013-03-11,67.089996,69.820000,66.070000,69.239998,57.461460,3300700
2013-03-18,68.089996,70.510002,67.720001,69.389999,57.585945,2075000
2013-03-25,69.589996,71.300003,69.080002,71.169998,59.063156,1889000
2013-04-01,71.160004,71.160004,64.910004,67.709999,56.191742,2956100
2013-04-08,67.879997,70.010002,66.459999,67.190002,55.760185,2102500
